Template version:,1.0.1,"Please see the ""My data sets"" tab at www.pals.unsw.edu.au for detailed instructions on how to use this template. Meta data for this site can be entered when uploading",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local date,local hour-of-day,SW downward,SWdown FLAG,LW downward,LW down FLAG,Air Temp,Air Temp FLAG,Rel humidity,RelHum FLAG,Windspeed,Windspeed FLAG,Rainfall,Rainf FLAG,Snowfall,Snowf FLAG,Air Pressure,Pressure FLAG,Ambient CO2 conc.,CO2air FLAG,Net Radiation,Rnet FLAG,SW upward,SWup FLAG,Latent heat,LatHeat FLAG,Sensible heat,SensHeat FLAG,NEE,NEE FLAG,SoilHeatFlux,SHFlux FLAG
dd/mm/yyyy," real [0,24)",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",C,"0 = obs, -9999 = unknown",%,"0 = obs, -9999 = unknown",m/s,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mb,"0 = obs, -9999 = unknown",ppmv,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",umol m-2 s-2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown"
01/01/2002,18.00,67.95,-9999,308.30,-9999,11.13,-9999,58.430000,-9999,3.64,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,13.40,-9999,8.92,-9999,-19.58,-9999,-7.86,-9999,4.07,-9999,-9999,-9999
01/01/2002,19.00,4.70,-9999,305.87,-9999,10.50,-9999,60.910000,-9999,3.39,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,-41.84,-9999,0.98,-9999,-36.65,-9999,-21.10,-9999,6.16,-9999,-9999,-9999
01/01/2002,20.00,0.00,-9999,305.93,-9999,10.17,-9999,62.830000,-9999,3.14,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,-52.53,-9999,0.00,-9999,1.31,-9999,-18.76,-9999,6.16,-9999,-9999,-9999
01/01/2002,21.00,0.00,-9999,304.85,-9999,10.05,-9999,63.530000,-9999,3.37,-9999,0.00,-9999,-9999,-9999,859.00,-9999,-9999.00,-9999,-58.10,-9999,0.00,-9999,1.86,-9999,-22.20,-9999,6.00,-9999,-9999,-9999
01/01/2002,22.00,0.00,-9999,302.95,-9999,9.98,-9999,63.100000,-9999,3.38,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,-47.59,-9999,0.00,-9999,1.86,-9999,-21.49,-9999,5.88,-9999,-9999,-9999
01/01/2002,23.00,0.00,-9999,300.35,-9999,9.20,-9999,67.470000,-9999,3.71,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,-39.24,-9999,0.00,-9999,2.71,-9999,-21.96,-9999,5.82,-9999,-9999,-9999
02/01/2002,0.00,0.00,-9999,299.96,-9999,8.09,-9999,79.720000,-9999,3.63,-9999,0.00,-9999,-9999,-9999,858.00,-9999,-9999.00,-9999,-24.16,-9999,0.00,-9999,2.25,-9999,-15.65,-9999,5.77,-9999,-9999,-9999
02/01/2002,1.00,0.00,-9999,299.55,-9999,7.66,-9999,83.960000,-9999,3.43,-9999,0.00,-9999,-9999,-9999,857.00,-9999,-9999.00,-9999,-22.62,-9999,0.00,-9999,1.64,-9999,-12.93,-9999,5.75,-9999,-9999,-9999
02/01/2002,2.00,0.00,-9999,296.88,-9999,7.16,-9999,85.610000,-9999,3.65,-9999,0.00,-9999,-9999,-9999,857.00,-9999,-9999.00,-9999,-14.60,-9999,0.00,-9999,2.24,-9999,-10.65,-9999,5.71,-9999,-9999,-9999
02/01/2002,3.00,0.00,-9999,294.20,-9999,6.54,-9999,89.400000,-9999,3.39,-9999,0.00,-9999,-9999,-9999,857.00,-9999,-9999.00,-9999,-13.74,-9999,0.00,-9999,1.57,-9999,-6.99,-9999,5.68,-9999,-9999,-9999
02/01/2002,4.00,0.00,-9999,295.87,-9999,5.89,-9999,95.240000,-9999,3.16,-9999,0.00,-9999,-9999,-9999,857.00,-9999,-9999.00,-9999,-13.49,-9999,0.00,-9999,1.01,-9999,-3.67,-9999,5.64,-9999,-9999,-9999
