Template version:,1.0.1,"Must be saved as .csv before uploading. Please see the ""My data sets"" tab at www.pals.unsw.edu.au for detailed instructions on how to use this template. Meta data for your site can be entered when uploading. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local date,local hour-of-day,SW downward,SWdown FLAG,LW downward,LW down FLAG,Air Temp,Air Temp FLAG,Rel humidity,RelHum FLAG,Windspeed,Windspeed FLAG,Rainfall,Rainf FLAG,Snowfall,Snowf FLAG,Air Pressure,Pressure FLAG,Ambient CO2 conc.,CO2air FLAG,Net Radiation,Rnet FLAG,SW upward,SWup FLAG,Latent heat,LatHeat FLAG,Sensible heat,SensHeat FLAG,NEE,NEE FLAG,SoilHeatFlux,SHFlux FLAG
dd/mm/yyyy," real [0,24)",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",C,"0 = obs, -9999 = unknown",%,"0 = obs, -9999 = unknown",m/s,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mb,"0 = obs, -9999 = unknown",ppmv,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",umol m-2 s-2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown"
1/01/02,0,0,-9999,278.29,-9999,9.77,-9999,51.65,-9999,2.22,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,-65.58,-9999,0,-9999,-1.01,-9999,-9.48,-9999,6.03,-9999,-7.87,-9999
1/01/02,1,0,-9999,279.63,-9999,9.59,-9999,54.74,-9999,1.93,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,-48.82,-9999,0,-9999,-1.98,-9999,-5.97,-9999,5.88,-9999,-9.32,-9999
1/01/02,2,0,-9999,279.8,-9999,9.24,-9999,58.08,-9999,2.54,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,-36.44,-9999,0,-9999,-0.37,-9999,-11.82,-9999,5.8,-9999,-9.73,-9999
1/01/02,3,0,-9999,279.22,-9999,7.89,-9999,65.97,-9999,2.45,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,-49.48,-9999,0,-9999,-0.53,-9999,-10.3,-9999,5.75,-9999,-9.36,-9999
1/01/02,4,0,-9999,271.19,-9999,6.65,-9999,79.5,-9999,2.02,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,-54.86,-9999,0,-9999,-1.6,-9999,-4.98,-9999,5.65,-9999,-9.69,-9999
1/01/02,5,29.16,-9999,274.45,-9999,6.83,-9999,73.06,-9999,2.7,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,6.29,-9999,4.21,-9999,-18.64,-9999,2.81,-9999,4.56,-9999,-10.28,-9999
1/01/02,6,165.15,-9999,287.83,-9999,7.38,-9999,70.95,-9999,3.76,-9999,0,-9999,-9999,-9999,860,-9999,-9999,-9999,107.22,-9999,22.36,-9999,12.14,-9999,37.44,-9999,-0.2,-9999,-8.38,-9999
1/01/02,7,491.38,-9999,284.62,-9999,7.7,-9999,69.39,-9999,4.65,-9999,0,-9999,-9999,-9999,860,-9999,-9999,-9999,327.32,-9999,66.81,-9999,74.02,-9999,158.95,-9999,-11.65,-9999,-4.84,-9999
1/01/02,8,483.55,-9999,293.09,-9999,7.75,-9999,66.72,-9999,4.06,-9999,0,-9999,-9999,-9999,860,-9999,-9999,-9999,344.58,-9999,57.58,-9999,77.29,-9999,164.56,-9999,-11.18,-9999,0.85,-9999
1/01/02,9,652.85,-9999,300.66,-9999,8.58,-9999,64.66,-9999,5.06,-9999,0,-9999,-9999,-9999,860,-9999,-9999,-9999,493.21,-9999,75.35,-9999,112.03,-9999,255.41,-9999,-16.95,-9999,5.52,-9999
1/01/02,10,636.15,-9999,309.06,-9999,9.31,-9999,64.06,-9999,5.24,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,482.49,-9999,71.59,-9999,118.66,-9999,238.56,-9999,-16.09,-9999,11.25,-9999
1/01/02,11,703.83,-9999,316.64,-9999,10.54,-9999,60.17,-9999,4.78,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,544.57,-9999,78.5,-9999,147.71,-9999,270.44,-9999,-18.3,-9999,14.11,-9999
1/01/02,12,795.28,-9999,318.45,-9999,11.35,-9999,54.94,-9999,6.79,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,610.6,-9999,88.12,-9999,175.05,-9999,318.27,-9999,-21.35,-9999,16.16,-9999
1/01/02,13,493.23,-9999,318.29,-9999,11.91,-9999,50.07,-9999,6.78,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,375.24,-9999,56.08,-9999,116.1,-9999,150.63,-9999,-10.43,-9999,18.51,-9999
1/01/02,14,151.75,-9999,318.74,-9999,11.66,-9999,52.25,-9999,5.67,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,104.08,-9999,17.69,-9999,12.03,-9999,19.76,-9999,1.55,-9999,15.09,-9999
1/01/02,15,98.45,-9999,316.88,-9999,11.53,-9999,51.76,-9999,5.22,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,62.24,-9999,11.37,-9999,-2.99,-9999,6.2,-9999,3.24,-9999,9.07,-9999
1/01/02,16,188.35,-9999,314.55,-9999,11.41,-9999,55.15,-9999,4.23,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,132.38,-9999,22.45,-9999,21.33,-9999,29.96,-9999,-0.07,-9999,5.39,-9999
1/01/02,17,141.77,-9999,311.25,-9999,11.2,-9999,57.38,-9999,3.95,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,89.57,-9999,17.23,-9999,4.89,-9999,14.56,-9999,1.54,-9999,4.47,-9999
1/01/02,18,67.95,-9999,308.3,-9999,11.13,-9999,58.43,-9999,3.64,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,13.4,-9999,8.92,-9999,-19.58,-9999,-7.86,-9999,4.07,-9999,3.01,-9999
1/01/02,19,4.7,-9999,305.87,-9999,10.5,-9999,60.91,-9999,3.39,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,-41.84,-9999,0.98,-9999,-36.65,-9999,-21.1,-9999,6.16,-9999,0.35,-9999
1/01/02,20,0,-9999,305.93,-9999,10.17,-9999,62.83,-9999,3.14,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,-52.53,-9999,0,-9999,1.31,-9999,-18.76,-9999,6.16,-9999,-2.52,-9999
1/01/02,21,0,-9999,304.85,-9999,10.05,-9999,63.53,-9999,3.37,-9999,0,-9999,-9999,-9999,859,-9999,-9999,-9999,-58.1,-9999,0,-9999,1.86,-9999,-22.2,-9999,6,-9999,-4.83,-9999
1/01/02,22,0,-9999,302.95,-9999,9.98,-9999,63.1,-9999,3.38,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,-47.59,-9999,0,-9999,1.86,-9999,-21.49,-9999,5.88,-9999,-6.51,-9999
1/01/02,23,0,-9999,300.35,-9999,9.2,-9999,67.47,-9999,3.71,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,-39.24,-9999,0,-9999,2.71,-9999,-21.96,-9999,5.82,-9999,-7.08,-9999
2/01/02,0,0,-9999,299.96,-9999,8.09,-9999,79.72,-9999,3.63,-9999,0,-9999,-9999,-9999,858,-9999,-9999,-9999,-24.16,-9999,0,-9999,2.25,-9999,-15.65,-9999,5.77,-9999,-6.98,-9999
2/01/02,1,0,-9999,299.55,-9999,7.66,-9999,83.96,-9999,3.43,-9999,0,-9999,-9999,-9999,857,-9999,-9999,-9999,-22.62,-9999,0,-9999,1.64,-9999,-12.93,-9999,5.75,-9999,-6.57,-9999
2/01/02,2,0,-9999,296.88,-9999,7.16,-9999,85.61,-9999,3.65,-9999,0,-9999,-9999,-9999,857,-9999,-9999,-9999,-14.6,-9999,0,-9999,2.24,-9999,-10.65,-9999,5.71,-9999,-6.39,-9999
