Template version:,1.0.1,"Must be saved as .csv before uploading. Please see the ""My data sets"" tab at www.pals.unsw.edu.au for detailed instructions on how to use this template. Meta data for your site can be entered when uploading. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local date,local hour-of-day,SW downward,SWdown FLAG,LW downward,LW down FLAG,Air Temp,Air Temp FLAG,Rel humidity,RelHum FLAG,Windspeed,Windspeed FLAG,Rainfall,Rainf FLAG,Snowfall,Snowf FLAG,Air Pressure,Pressure FLAG,Ambient CO2 conc.,CO2air FLAG,Net Radiation,Rnet FLAG,SW upward,SWup FLAG,Latent heat,LatHeat FLAG,Sensible heat,SensHeat FLAG,NEE,NEE FLAG,SoilHeatFlux,SHFlux FLAG
dd/mm/yyyy," real [0,24)",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",C,"0 = obs, -9999 = unknown",%,"0 = obs, -9999 = unknown",m/s,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mb,"0 = obs, -9999 = unknown",ppmv,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",umol m-2 s-2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown"
01/01/1997,10.50,228.92,2,-9999,-9999,-0.2,2,71.18,2,3.898,2,0.063,1,-9999.00,-9999,979.8,2,-9999.00,-9999,137.3,2,-9999.00,-9999,23.94,2,90.94,2,-0.523,1,-9999.00,-9999
01/01/1997,11.00,266.42,2,-9999,-9999,0.3,2,68.13,2,4.039,2,0.169,1,-9999.00,-9999,980.7,2,-9999.00,-9999,162.5,2,-9999.00,-9999,37,2,56.67,2,0.136,1,-9999.00,-9999
01/01/1997,11.50,297.42,2,-9999,-9999,0.8,2,65.72,2,4.08,2,0.042,1,-9999.00,-9999,981.4,2,-9999.00,-9999,183.7,2,-9999.00,-9999,17.56,2,89.33,2,0.409,1,-9999.00,-9999
01/01/1997,12.00,344.75,2,-9999,-9999,1.2,2,64.08,2,4.233,2,0,1,-9999.00,-9999,981.5,2,-9999.00,-9999,215.5,2,-9999.00,-9999,28,2,111,2,1.341,1,-9999.00,-9999
01/01/1997,12.50,333.92,2,-9999,-9999,1.5,2,63.4,2,4.253,2,0,1,-9999.00,-9999,980.9,2,-9999.00,-9999,208.9,2,-9999.00,-9999,28,2,111,2,1.341,1,-9999.00,-9999
01/01/1997,13.00,320.67,2,-9999,-9999,1.7,2,64.63,2,4.206,2,0,1,-9999.00,-9999,980.1,2,-9999.00,-9999,199.2,2,-9999.00,-9999,28,2,111,2,1.341,1,-9999.00,-9999
01/01/1997,13.50,330.17,2,-9999,-9999,1.9,2,64.13,2,4.203,2,0,1,-9999.00,-9999,980.3,2,-9999.00,-9999,206,2,-9999.00,-9999,19,2,93,2,1.341,1,-9999.00,-9999
01/01/1997,14.00,300.33,2,-9999,-9999,2.1,2,61.99,2,4.242,2,0,1,-9999.00,-9999,979.8,2,-9999.00,-9999,185.7,2,-9999.00,-9999,14.67,2,68,2,0.267,1,-9999.00,-9999
01/01/1997,14.50,271.08,2,-9999,-9999,2.2,2,61.25,2,4.153,2,0,1,-9999.00,-9999,979.8,2,-9999.00,-9999,163.3,2,-9999.00,-9999,14.67,2,68,2,0.267,1,-9999.00,-9999
01/01/1997,15.00,236.25,2,-9999,-9999,2.2,2,60.74,2,4.137,2,0,1,-9999.00,-9999,979.9,2,-9999.00,-9999,137.3,2,-9999.00,-9999,15,2,84.33,2,1.123,1,-9999.00,-9999
01/01/1997,15.50,174.83,2,-9999,-9999,2.1,2,60.55,2,3.902,2,0,1,-9999.00,-9999,979.2,2,-9999.00,-9999,95.2,2,-9999.00,-9999,10.25,2,41.38,2,0.323,1,-9999.00,-9999
01/01/1997,16.00,127.42,2,-9999,-9999,2.1,2,60.92,2,3.706,2,0,1,-9999.00,-9999,978.4,2,-9999.00,-9999,64.6,2,-9999.00,-9999,23.2,2,28.8,2,0.722,1,-9999.00,-9999
01/01/1997,16.50,86.92,2,-9999,-9999,1.9,2,61.23,2,3.648,2,0,1,-9999.00,-9999,977.7,2,-9999.00,-9999,36.9,2,-9999.00,-9999,9.57,2,-12.86,2,-0.222,1,-9999.00,-9999
01/01/1997,17.00,50.67,2,-9999,-9999,1.7,2,61.77,2,3.472,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,12.9,2,-9999.00,-9999,9.57,2,-12.86,2,-0.222,1,-9999.00,-9999
01/01/1997,17.50,17.75,2,-9999,-9999,1.4,2,63.14,2,3.131,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,-12.3,2,-9999.00,-9999,6.57,2,-11.86,2,-0.039,1,-9999.00,-9999
01/01/1997,18.00,0,3,-9999,-9999,0.9,2,65.27,2,2.649,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,-20.3,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,18.50,0,3,-9999,-9999,0.7,2,66.77,2,2.491,2,0,1,-9999.00,-9999,977.5,2,-9999.00,-9999,-19.7,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,19.00,0,3,-9999,-9999,0.7,2,67.26,2,2.757,2,0,1,-9999.00,-9999,977.8,2,-9999.00,-9999,-19.9,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,19.50,0,3,-9999,-9999,0.6,2,67.76,2,2.868,2,0,1,-9999.00,-9999,977.8,2,-9999.00,-9999,-20.5,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,20.00,0,3,-9999,-9999,0.5,2,67.84,2,2.869,2,0,1,-9999.00,-9999,977.8,2,-9999.00,-9999,-20.3,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,20.50,0,3,-9999,-9999,0.2,2,68.96,2,2.826,2,0,1,-9999.00,-9999,978.1,2,-9999.00,-9999,-20.2,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,21.00,0,3,-9999,-9999,0,2,69.53,2,2.806,2,0,1,-9999.00,-9999,978,2,-9999.00,-9999,-19.9,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,21.50,0,3,-9999,-9999,-0.3,2,70.26,2,2.794,2,0,1,-9999.00,-9999,978.1,2,-9999.00,-9999,-19,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,22.00,0,3,-9999,-9999,-0.3,2,70.86,2,2.758,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-19,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,22.50,0,3,-9999,-9999,-0.5,2,71.49,2,2.564,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-19.7,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,23.00,0,3,-9999,-9999,-0.7,2,72.71,2,2.648,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-18.8,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
01/01/1997,23.50,0,3,-9999,-9999,-0.7,2,72.53,2,2.621,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-20.8,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,0.00,0,3,-9999,-9999,-0.3,2,69.81,2,2.576,2,0,1,-9999.00,-9999,979.2,2,-9999.00,-9999,-22.2,2,-9999.00,-9999,1.3,2,-18.45,2,-0.042,1,-9999.00,-9999
02/01/1997,0.50,0,3,-9999,-9999,-0.8,2,71.93,2,2.689,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.9,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,1.00,0,3,-9999,-9999,-0.9,2,72.05,2,2.659,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.3,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,1.50,0,3,-9999,-9999,-1.1,2,72.26,2,2.483,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,2.00,0,3,-9999,-9999,-1.2,2,72.05,2,2.414,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-15.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,2.50,0,3,-9999,-9999,-1.1,2,71.36,2,2.548,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-14.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,3.00,0,3,-9999,-9999,-1.2,2,69.41,2,2.875,2,0,1,-9999.00,-9999,978.4,2,-9999.00,-9999,-15.7,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,3.50,0,3,-9999,-9999,-1.6,2,69.39,2,2.765,2,0,1,-9999.00,-9999,978.5,2,-9999.00,-9999,-16.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,4.00,0,3,-9999,-9999,-1.8,2,69.37,2,2.818,2,0,1,-9999.00,-9999,978.6,2,-9999.00,-9999,-15.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,4.50,0,3,-9999,-9999,-2.1,2,69.65,2,2.88,2,0,1,-9999.00,-9999,978.7,2,-9999.00,-9999,-15.1,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,5.00,0,3,-9999,-9999,-2.4,2,70.71,2,2.915,2,0,1,-9999.00,-9999,978.7,2,-9999.00,-9999,-15.2,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,5.50,0,3,-9999,-9999,-1.2,2,74.22,2,2.959,2,0,1,-9999.00,-9999,977.3,2,-9999.00,-9999,-14.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,6.00,0,3,-9999,-9999,-1.3,2,74.31,2,2.894,2,0,1,-9999.00,-9999,977.4,2,-9999.00,-9999,-14.2,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,6.50,0,3,-9999,-9999,-1.5,2,74.68,2,3.002,2,0,1,-9999.00,-9999,977.7,2,-9999.00,-9999,-14.1,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,7.00,0,3,-9999,-9999,-1.7,2,75.72,2,2.902,2,0,1,-9999.00,-9999,978,2,-9999.00,-9999,-15.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,7.50,0,3,-9999,-9999,-2,2,78.19,2,2.942,2,0,1,-9999.00,-9999,978.1,2,-9999.00,-9999,-13.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
02/01/1997,8.00,1.75,2,-9999,-9999,-2,2,78.97,2,2.861,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-9.6,2,-9999.00,-9999,6.5,2,-3.03,2,0.5,1,-9999.00,-9999
02/01/1997,8.50,33,2,-9999,-9999,-2,2,78.69,2,2.827,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,5.5,2,-9999.00,-9999,6.5,2,-3.03,2,0.5,1,-9999.00,-9999
02/01/1997,9.00,74.08,2,-9999,-9999,-1.7,2,77.76,2,2.763,2,0,1,-9999.00,-9999,978.5,2,-9999.00,-9999,33,2,-9999.00,-9999,12.33,2,13.63,2,-0.667,1,-9999.00,-9999
02/01/1997,9.50,120.67,2,-9999,-9999,-1.3,2,76.8,2,2.938,2,0,1,-9999.00,-9999,979,2,-9999.00,-9999,66.3,2,-9999.00,-9999,13.3,2,31.9,2,0.045,1,-9999.00,-9999
02/01/1997,10.00,190.58,2,-9999,-9999,-0.7,2,74.06,2,3.49,2,0,1,-9999.00,-9999,979.2,2,-9999.00,-9999,105.6,2,-9999.00,-9999,29.64,2,69.82,2,0.409,1,-9999.00,-9999
02/01/1997,10.50,228.92,2,-9999,-9999,-0.2,2,71.18,2,3.898,2,0.063,1,-9999.00,-9999,979.8,2,-9999.00,-9999,137.3,2,-9999.00,-9999,23.94,2,90.94,2,-0.523,1,-9999.00,-9999
02/01/1997,11.00,266.42,2,-9999,-9999,0.3,2,68.13,2,4.039,2,0.169,1,-9999.00,-9999,980.7,2,-9999.00,-9999,162.5,2,-9999.00,-9999,37,2,56.67,2,0.136,1,-9999.00,-9999
02/01/1997,11.50,297.42,2,-9999,-9999,0.8,2,65.72,2,4.08,2,0.042,1,-9999.00,-9999,981.4,2,-9999.00,-9999,183.7,2,-9999.00,-9999,17.56,2,89.33,2,0.409,1,-9999.00,-9999
02/01/1997,12.00,344.75,2,-9999,-9999,1.2,2,64.08,2,4.233,2,0,1,-9999.00,-9999,981.5,2,-9999.00,-9999,215.5,2,-9999.00,-9999,28,2,111,2,1.341,1,-9999.00,-9999
02/01/1997,12.50,333.92,2,-9999,-9999,1.5,2,63.4,2,4.253,2,0,1,-9999.00,-9999,980.9,2,-9999.00,-9999,208.9,2,-9999.00,-9999,28,2,111,2,1.341,1,-9999.00,-9999
02/01/1997,13.00,320.67,2,-9999,-9999,1.7,2,64.63,2,4.206,2,0,1,-9999.00,-9999,980.1,2,-9999.00,-9999,199.2,2,-9999.00,-9999,28,2,111,2,1.341,1,-9999.00,-9999
02/01/1997,13.50,330.17,2,-9999,-9999,1.9,2,64.13,2,4.203,2,0,1,-9999.00,-9999,980.3,2,-9999.00,-9999,206,2,-9999.00,-9999,19,2,93,2,1.341,1,-9999.00,-9999
02/01/1997,14.00,300.33,2,-9999,-9999,2.1,2,61.99,2,4.242,2,0,1,-9999.00,-9999,979.8,2,-9999.00,-9999,185.7,2,-9999.00,-9999,14.67,2,68,2,0.267,1,-9999.00,-9999
02/01/1997,14.50,271.08,2,-9999,-9999,2.2,2,61.25,2,4.153,2,0,1,-9999.00,-9999,979.8,2,-9999.00,-9999,163.3,2,-9999.00,-9999,14.67,2,68,2,0.267,1,-9999.00,-9999
02/01/1997,15.00,236.25,2,-9999,-9999,2.2,2,60.74,2,4.137,2,0,1,-9999.00,-9999,979.9,2,-9999.00,-9999,137.3,2,-9999.00,-9999,15,2,84.33,2,1.123,1,-9999.00,-9999
02/01/1997,15.50,174.83,2,-9999,-9999,2.1,2,60.55,2,3.902,2,0,1,-9999.00,-9999,979.2,2,-9999.00,-9999,95.2,2,-9999.00,-9999,10.25,2,41.38,2,0.323,1,-9999.00,-9999
02/01/1997,16.00,127.42,2,-9999,-9999,2.1,2,60.92,2,3.706,2,0,1,-9999.00,-9999,978.4,2,-9999.00,-9999,64.6,2,-9999.00,-9999,23.2,2,28.8,2,0.722,1,-9999.00,-9999
02/01/1997,16.50,86.92,2,-9999,-9999,1.9,2,61.23,2,3.648,2,0,1,-9999.00,-9999,977.7,2,-9999.00,-9999,36.9,2,-9999.00,-9999,9.57,2,-12.86,2,-0.222,1,-9999.00,-9999
